-78.32532,44.97090
-78.32077,44.96249
-78.31135,44.96451
-78.31580,44.97292

-78.38768,44.92507
-78.38351,44.91689
-78.36901,44.92069
-78.37343,44.92899

-77.65438,45.04198
-77.65034,45.04313
-77.64803,45.03901
-77.61060,45.04914
-77.61258,45.05259
-77.60743,45.05381
-77.60563,45.05035
-77.59739,45.03646
-77.59799,45.03501
-77.59747,45.03452
-77.59644,45.03482
-77.59387,45.03009
-77.60065,45.02882
-77.60116,45.02821
-77.60091,45.02718
-77.59902,45.02664
-77.59438,45.02785
-77.59267,45.02688
-77.59352,45.02506
-77.59455,45.02439
-77.59481,45.02330
-77.59533,45.02281
-77.59447,45.02227
-77.58966,45.02269
-77.58185,45.00831
-77.62914,44.99569
-77.63532,45.00686
-77.63361,45.00643
-77.63343,45.00589
-77.63275,45.00534
-77.63258,45.00479
-77.62974,45.00437
-77.62983,45.00595
-77.62760,45.00558
-77.62760,45.00661
-77.63077,45.00752
-77.63163,45.00849
-77.63455,45.00904
-77.63515,45.00843
-77.63610,45.00843
-77.65446,45.04204

-77.94852,44.57059
-77.93187,44.57505
-77.94938,44.60720
-77.95925,44.60451
-77.95994,44.60573
-77.96998,44.60292
-77.96131,44.59064
-77.95444,44.58055
-77.95118,44.57560
-77.94835,44.57059

-77.93423,44.57997
-77.92629,44.58220
-77.92698,44.58333
-77.91908,44.58553
-77.92230,44.59061
-77.93419,44.61401
-77.95123,44.61090
-77.93423,44.58000
